Substructure,Molecules containing fragment,Number of Molecules_with_Fragment,Mean score cluster,Steps,Number of Molecules_with_Fragment List,step min,step count
F[B-]1(F)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)C(=C(c3ccccc3)c3cccn31)c1ccccc12,{'F[B-]1(F)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)C(=C(c3ccccc3)c3cccn31)c1ccccc12'},1,0.4948305,[230],[2],230,1
F[B-]1(F)C(c2ccccc2)=[N+]2C(=C(c3ccc(Br)cc3)c3cccn31)C(c1ccc(Br)cc1)=[N+](c1ccccc1)[B-]2(F)F,{'F[B-]1(F)C(c2ccccc2)=[N+]2C(=C(c3ccc(Br)cc3)c3cccn31)C(c1ccc(Br)cc1)=[N+](c1ccccc1)[B-]2(F)F'},1,0.5242347,[280],[2],280,1
F[B-]1(F)C(=c2c(=C3C=CC(=[NH+]c4ccc(Cl)cc4)C=C3)c3cc(Br)ccc3c3ccccc23)c2ccsc2-c2cccn21,{'F[B-]1(F)C(=c2c(=C3C=CC(=[NH+]c4ccc(Cl)cc4)C=C3)c3cc(Br)ccc3c3ccccc23)c2ccsc2-c2cccn21'},1,0.2934876,[240],[2],240,1
O=C1C=CC(=CN(Cc2ccccc2)c2ccccc2)C(=NNc2ccccc2)C1=C(c1ccccc1)c1ccccc1,{'O=C1C=CC(=CN(Cc2ccccc2)c2ccccc2)C(=NNc2ccccc2)C1=C(c1ccccc1)c1ccccc1'},1,0.4325186,[210],[2],210,1
O=C1CC(=O)C(c2ccccc2)=C1C(=C1C(=C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21)c1ccccc1,{'O=C1CC(=O)C(c2ccccc2)=C1C(=C1C(=C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21)c1ccccc1'},1,0.3922279,[210],[2],210,1
O=C1c2ccccc2C(=O)N1C(=O)c1ncc(N(Cc2ccccn2)Cc2cccc3ccccc23)c2ccc(Br)cc12,{'O=C1c2ccccc2C(=O)N1C(=O)c1ncc(N(Cc2ccccn2)Cc2cccc3ccccc23)c2ccc(Br)cc12'},1,0.1302398,[190],[2],190,1
O=C1c2cccnc2[B-](F)(F)[N+]2=Nc3ccc4ncccc4c3[N+](=O)C12[P-](=O)(Oc1ccccc1)=[O+]c1ccc(Br)cc1,{'O=C1c2cccnc2[B-](F)(F)[N+]2=Nc3ccc4ncccc4c3[N+](=O)C12[P-](=O)(Oc1ccccc1)=[O+]c1ccc(Br)cc1'},1,0.4496446,[170],[2],170,1
O=[P-]12=[N+](C(c3ccccc3)c3ccccc3)C3=C(C(=C1)CCC3)[P-]1(#[S+])C(=[S+])c3ccccc3OP1Oc1ccccc1O2,{'O=[P-]12=[N+](C(c3ccccc3)c3ccccc3)C3=C(C(=C1)CCC3)[P-]1(#[S+])C(=[S+])c3ccccc3OP1Oc1ccccc1O2'},1,0.0925943,[140],[2],140,1
O=c1c(=C(c2ccccc2)c2ccccc2)c2c(c3n1C1CCCCC1C3c1ccccc1)OC(c1ccccc1)=CC=2,{'O=c1c(=C(c2ccccc2)c2ccccc2)c2c(c3n1C1CCCCC1C3c1ccccc1)OC(c1ccccc1)=CC=2'},1,0.4677332,[250],[2],250,1
O=c1c(C(=NN=C2Nc3ccccc3C2=NNc2ccc(Br)cc2)c2ccccc2)c2ccccc2cc2ccccc12,{'O=c1c(C(=NN=C2Nc3ccccc3C2=NNc2ccc(Br)cc2)c2ccccc2)c2ccccc2cc2ccccc12'},1,0.4410537,[230],[2],230,1
O=c1c(Cc2c3ccccc3cc3ccccc23)c(-c2ccccc2)cc2c3cc(Cl)ccc3c(=Cc3ccccc3)n12,{'O=c1c(Cc2c3ccccc3cc3ccccc23)c(-c2ccccc2)cc2c3cc(Cl)ccc3c(=Cc3ccccc3)n12'},1,0.4843278,[200],[2],200,1
O=c1c2cccc(-c3ccccc3)[n+]1C(c1ccccc1)=C(c1ccccc1)[P-](=O)(c1ccccc1)=C2c1ccccc1,{'O=c1c2cccc(-c3ccccc3)[n+]1C(c1ccccc1)=C(c1ccccc1)[P-](=O)(c1ccccc1)=C2c1ccccc1'},1,0.3137484,[150],[2],150,1
O=c1cc2c(nn1-c1ccc(F)cc1)c1ccccc3c(-c4cc(C5=NN=C(c6ccc(F)cc6F)C5)c(F)cn4)n2c1-3,{'O=c1cc2c(nn1-c1ccc(F)cc1)c1ccccc3c(-c4cc(C5=NN=C(c6ccc(F)cc6F)C5)c(F)cn4)n2c1-3'},1,0.4551359,[70],[2],70,1
OB(O)c1ccc2cc(B3Oc4ccc5ccccc5c4-c4c5ccccc5cc5cccc3c45)c3ccccc3c2c1,{'OB(O)c1ccc2cc(B3Oc4ccc5ccccc5c4-c4c5ccccc5cc5cccc3c45)c3ccccc3c2c1'},1,0.3091649,[100],[2],100,1
c1ccc(-c2cc(-c3ccccc3)c3c(c2-c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1,{'c1ccc(-c2cc(-c3ccccc3)c3c(c2-c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1'},1,0.0377719,[10],[2],10,1
c1ccc(C2=C3C(=[N+]c4ccccc43)c3c(c4ccccc4c4ccccc34)[B-]2(c2ccccc2)c2ccccc2)cc1,{'c1ccc(C2=C3C(=[N+]c4ccccc43)c3c(c4ccccc4c4ccccc34)[B-]2(c2ccccc2)c2ccccc2)cc1'},1,0.3010021,[180],[2],180,1
c1ccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2(c2ccccc2)c2c3ccccc3cc3ccccc23)cc1,{'c1ccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2(c2ccccc2)c2c3ccccc3cc3ccccc23)cc1'},1,0.5045311,[260],[2],260,1
c1ccc(C2=c3ccc4ccccc4c3=C(c3ccccc3)c3cccc[n+]3[B-]2(c2ccccc2)c2ccccc2)cc1,{'c1ccc(C2=c3ccc4ccccc4c3=C(c3ccccc3)c3cccc[n+]3[B-]2(c2ccccc2)c2ccccc2)cc1'},1,0.433962,[240],[2],240,1
c1ccc(N2N=C(c3cccc4ccccc34)c3cc4ccccc4cc3C2=C2c3ccccc3-c3ccccc32)cc1,{'c1ccc(N2N=C(c3cccc4ccccc34)c3cc4ccccc4cc3C2=C2c3ccccc3-c3ccccc32)cc1'},1,0.4061244,[200],[2],200,1
Brc1ccc(-c2c([B-](c3ccccc3)(c3ccccc3)c3ccccc3)c3c(-c4ccccc4)c(-c4ccccc4)[n+]2-3)cc1,{'Brc1ccc(-c2c([B-](c3ccccc3)(c3ccccc3)c3ccccc3)c3c(-c4ccccc4)c(-c4ccccc4)[n+]2-3)cc1'},1,0.1795098,[240],[2],240,1
Cn1c(=C2[NH+]=c3c(Cl)c(oc(=O)c3=C3C=CC=C3Cl)-c3ccccc32)ccc1=c1c2nc(=Cc3ccccc3Cl)c-2[n+]1[O-],{'Cn1c(=C2[NH+]=c3c(Cl)c(oc(=O)c3=C3C=CC=C3Cl)-c3ccccc32)ccc1=c1c2nc(=Cc3ccccc3Cl)c-2[n+]1[O-]'},1,0.3526132,[180],[2],180,1
Cc1ccc(S(=O)(=O)NN=C2c3ccccc3S(=O)(=O)c3c4c(n(-c5ccccc5)c32)C(=O)c2ccccc2C4=O)cc1,{'Cc1ccc(S(=O)(=O)NN=C2c3ccccc3S(=O)(=O)c3c4c(n(-c5ccccc5)c32)C(=O)c2ccccc2C4=O)cc1'},1,0.2384924,[170],[2],170,1
[O-]C1=C2C(=CC=C(c3ccccc3)c3[s+]c4c(-c5ccccc5)c5ccccc5cc4cc32)C=CN1c1ccccc1,{'[O-]C1=C2C(=CC=C(c3ccccc3)c3[s+]c4c(-c5ccccc5)c5ccccc5cc4cc32)C=CN1c1ccccc1'},1,0.3840272,[120],[2],120,1
Brc1ccc(-c2ccccc2)c(-c2ccccc2-c2cc3ccccc3cc2-c2c3ccccc3cc3ccccc23)c1,{'Brc1ccc(-c2ccccc2)c(-c2ccccc2-c2cc3ccccc3cc2-c2c3ccccc3cc3ccccc23)c1'},1,0.4575598,[180],[2],180,1
CC1(C)c2cccc(c2)-c2cccc(c2)C(c2ccco2)=C2c3ccccc3-c3ccccc3C(=O)C21c1ccccc1,{'CC1(C)c2cccc(c2)-c2cccc(c2)C(c2ccco2)=C2c3ccccc3-c3ccccc3C(=O)C21c1ccccc1'},1,0.2700199,[110],[2],110,1
C1=CC(=C2C=CC(c3ccccc3)(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)C(c3ccccc3)=C2)C=C1,{'C1=CC(=C2C=CC(c3ccccc3)(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)C(c3ccccc3)=C2)C=C1'},1,0.2257297,[150],[2],150,1
C(=NC1=Cc2ccccc2N=C2c3ccccc3C(=Nc3ccccc3)c3ccccc3C12)c1ccc2ccccc2n1,{'C(=NC1=Cc2ccccc2N=C2c3ccccc3C(=Nc3ccccc3)c3ccccc3C12)c1ccc2ccccc2n1'},1,0.2336908,[160],[2],160,1
C(=C1C2=C(c3ccccc3)c3ccccc3C2(c2ccccc2)c2ccccc21)c1c2ccccc2cc2ccccc12,{'C(=C1C2=C(c3ccccc3)c3ccccc3C2(c2ccccc2)c2ccccc21)c1c2ccccc2cc2ccccc12'},1,0.5044088,[370],[2],370,1
C(=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1)=C(c1ccccc1)c1ccccc1,{'C(=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1)=C(c1ccccc1)c1ccccc1'},1,0.0,[190],[2],190,1
C(=C1C(=C2C=C(c3ccccc3)N(c3ccccc3)c3ccccc32)COc2ccc3ccccc3c21)c1ccccc1,{'C(=C1C(=C2C=C(c3ccccc3)N(c3ccccc3)c3ccccc32)COc2ccc3ccccc3c21)c1ccccc1'},1,0.3716367,[100],[2],100,1
c1ccc2cc(-c3cc4c(-c5c6ccccc6cc6ccccc56)c5ccccc5nc4c4ccccc34)ccc2c1,{'c1ccc2cc(-c3cc4c(-c5c6ccccc6cc6ccccc56)c5ccccc5nc4c4ccccc34)ccc2c1'},1,0.4687461,[370],[2],370,1
Cc1ccc(C2=C3[N+](=C2)C2=C(c4ccccc4)[B-](F)(Cl)C(c4ccccc4)=C2C3(c2ccccc2)c2ccccc2)cc1,{'Cc1ccc(C2=C3[N+](=C2)C2=C(c4ccccc4)[B-](F)(Cl)C(c4ccccc4)=C2C3(c2ccccc2)c2ccccc2)cc1'},1,0.5035984,[400],[2],400,1
c1ccc2c(c1)-c1ccc(cc1)-c1cc3ccccc3cc1-c1ccc3ccccc3c1-c1nc3ccccc3nc1-2,{'c1ccc2c(c1)-c1ccc(cc1)-c1cc3ccccc3cc1-c1ccc3ccccc3c1-c1nc3ccccc3nc1-2'},1,0.1531144,[150],[2],150,1
c1ccc(N=C2N=C(N(c3ccccc3)C(c3ccccc3)(c3ccccc3)c3ccccc3)c3ccccc32)cc1,{'c1ccc(N=C2N=C(N(c3ccccc3)C(c3ccccc3)(c3ccccc3)c3ccccc3)c3ccccc32)cc1'},1,0.1945083,[140],[2],140,1
c1ccc(C2=NC(=c3c(=C(c4ccccc4)c4ccccc4)c4ccccc4c4ccccc34)c3ccccc32)cc1,{'c1ccc(C2=NC(=c3c(=C(c4ccccc4)c4ccccc4)c4ccccc4c4ccccc34)c3ccccc32)cc1'},1,0.3517135,[220],[2],220,1
c1ccc(C(=C2c3ccc4ccc5ccccc5c4c3-c3ccc4ccc5ccccc5c4c32)c2ccccc2)cc1,{'c1ccc(C(=C2c3ccc4ccc5ccccc5c4c3-c3ccc4ccc5ccccc5c4c32)c2ccccc2)cc1'},1,0.3014866,[270],[2],270,1
[O-][N+]([O-])=C1C=CC(=c2ccc(-c3ccccn3)[n+]3c2c(-c2ccccn2)c2cccn23)C(n2cnc3ccccc32)=C1,{'[O-][N+]([O-])=C1C=CC(=c2ccc(-c3ccccn3)[n+]3c2c(-c2ccccn2)c2cccn23)C(n2cnc3ccccc32)=C1'},1,0.2977548,[400],[2],400,1
[O-]C1=[S+]C(C2c3ccccc3-c3ccccc32)=C([O-])C1=[S+]Cc1ccc2ccccc2c1C1=c2ccccc2=[S+]CS1,{'[O-]C1=[S+]C(C2c3ccccc3-c3ccccc32)=C([O-])C1=[S+]Cc1ccc2ccccc2c1C1=c2ccccc2=[S+]CS1'},1,0.2360302,[80],[2],80,1
CC12C(=Cc3ccccc3N1Cc1ccccc1)SC1C(=O)OC2(O)C12C(=O)N(Cc1ccccc1)c1ccc(Br)cc12,{'CC12C(=Cc3ccccc3N1Cc1ccccc1)SC1C(=O)OC2(O)C12C(=O)N(Cc1ccccc1)c1ccc(Br)cc12'},1,0.0565519,[30],[2],30,1
CC1=C(C2=C(c3ccccc3)C(c3ccccc3)=NC2=Nc2ccc(C)cc2)c2cn3c(c1c2=O)C(=O)c1ccccc1-3,{'CC1=C(C2=C(c3ccccc3)C(c3ccccc3)=NC2=Nc2ccc(C)cc2)c2cn3c(c1c2=O)C(=O)c1ccccc1-3'},1,0.2200988,[350],[2],350,1
CC1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C2(c3ccc(C(F)(F)F)cc3)C(=O)C12c1ccccc1,{'CC1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C2(c3ccc(C(F)(F)F)cc3)C(=O)C12c1ccccc1'},1,0.196354,[50],[2],50,1
CN1c2ccccc2C(=O)c2ccccc2O[P-]2(NC34N=NC3(C)O4)(=[O+]c3ccccc3[N+](=O)[O-])Oc3ccccc3C12,{'CN1c2ccccc2C(=O)c2ccccc2O[P-]2(NC34N=NC3(C)O4)(=[O+]c3ccccc3[N+](=O)[O-])Oc3ccccc3C12'},1,0.0558866,[120],[2],120,1
COC(=O)C1(C)c2ccccc2C(=O)C2(C)c3ccc(OC)c(OC(C)(C(=O)c4ccccc4)c4ccccc4)c3CC12,{'COC(=O)C1(C)c2ccccc2C(=O)C2(C)c3ccc(OC)c(OC(C)(C(=O)c4ccccc4)c4ccccc4)c3CC12'},1,0.0,[30],[2],30,1
COC1=CC(=C2c3cccc(-c4c5ccccc5cc5ccccc45)c3C(F)(F)C(F)(F)C2(F)F)C(c2ccccc2)=C1,{'COC1=CC(=C2c3cccc(-c4c5ccccc5cc5ccccc45)c3C(F)(F)C(F)(F)C2(F)F)C(c2ccccc2)=C1'},1,0.5206192,[370],[2],370,1
COc1ccc(C2=C3C=C(c4ccccc4)C(c4ccccc4)=C3[Si](C)(C)C(c3ccccc3)=C2c2ccccc2)cc1,{'COc1ccc(C2=C3C=C(c4ccccc4)C(c4ccccc4)=C3[Si](C)(C)C(c3ccccc3)=C2c2ccccc2)cc1'},1,0.4811088,[210],[2],210,1
COc1ccc(C2C=C(c3ccccc3)C3(c4ccccc4)C(=O)C(=Cc4ccccc4)C(c4ccc(C)cc4)=C23)cc1,{'COc1ccc(C2C=C(c3ccccc3)C3(c4ccccc4)C(=O)C(=Cc4ccccc4)C(c4ccc(C)cc4)=C23)cc1'},1,0.3198934,[360],[2],360,1
COc1ccc(C=C2C=C(c3ccc(Oc4ccccc4)cc3)C(c3ccc(Br)cc3)=C2c2ccc(Br)cc2)cc1OC,{'COc1ccc(C=C2C=C(c3ccc(Oc4ccccc4)cc3)C(c3ccc(Br)cc3)=C2c2ccc(Br)cc2)cc1OC'},1,0.3987077,[210],[2],210,1
COc1ccc(N2C(=O)C(c3ccccc3)(c3ccccc3)c3cn(-c4ccccc4)c(=O)c(-c4ccccc4)c32)cc1,{'COc1ccc(N2C(=O)C(c3ccccc3)(c3ccccc3)c3cn(-c4ccccc4)c(=O)c(-c4ccccc4)c32)cc1'},1,0.1239694,[190],[2],190,1
COc1ccc2c(c1)-c1c(c3c(c4ccccc14)C(=C1C(=O)N(C)C(=O)N(C)C1=O)c1ccccc1-3)C2c1ccccc1,{'COc1ccc2c(c1)-c1c(c3c(c4ccccc14)C(=C1C(=O)N(C)C(=O)N(C)C1=O)c1ccccc1-3)C2c1ccccc1'},1,0.3427091,[180],[2],180,1
C[N+]1=C(C2Sc3ccccc3N2c2ccccc2)C(c2ccc(-c3oc4c5c(cccc35)-c3ccccc3-4)nc2[O-])CC1,{'C[N+]1=C(C2Sc3ccccc3N2c2ccccc2)C(c2ccc(-c3oc4c5c(cccc35)-c3ccccc3-4)nc2[O-])CC1'},1,0.3739285,[80],[2],80,1
C[Si](c1ccccc1)(c1ccccc1)[Si]12Cc3ccccc3[Si]1(c1ccccc1)c1ccccc1[Si]2(C)c1ccccc1,{'C[Si](c1ccccc1)(c1ccccc1)[Si]12Cc3ccccc3[Si]1(c1ccccc1)c1ccccc1[Si]2(C)c1ccccc1'},1,0.0048453,[160],[2],160,1
C[Si]1(C)C(=C2c3ccccc3-c3ccccc32)c2c(-c3ccccc3)c3cccc4cccc(c2=C1c1ccccc1)c43,{'C[Si]1(C)C(=C2c3ccccc3-c3ccccc32)c2c(-c3ccccc3)c3cccc4cccc(c2=C1c1ccccc1)c43'},1,0.4765556,[80],[2],80,1
Cc1cc(C2=C3C=CC(Cl)=[N+]3[B-](F)(F)n3cccc32)cc2c1OC1=C(C2=C([O-])c2ccc(Cl)cc2)c2ccccc2C1=O,{'Cc1cc(C2=C3C=CC(Cl)=[N+]3[B-](F)(F)n3cccc32)cc2c1OC1=C(C2=C([O-])c2ccc(Cl)cc2)c2ccccc2C1=O'},1,0.5368043,[240],[2],240,1
Cc1ccc(-c2c3c(c(=C4C=[N+]([O-])c5ccccc54)n4cccc24)=C(c2cccc(Cl)n2)c2ccc(Cl)n2[B-]3(F)F)cc1,{'Cc1ccc(-c2c3c(c(=C4C=[N+]([O-])c5ccccc54)n4cccc24)=C(c2cccc(Cl)n2)c2ccc(Cl)n2[B-]3(F)F)cc1'},1,0.5497053,[390],[2],390,1
Cc1ccc(C2=C3C=C(c4ccc([N+](=O)[O-])cc4)C(c4ccc(C)cc4)=[N+]3[B-](F)(F)n3c(Br)c(Cl)c(C(F)(F)F)c32)cc1,{'Cc1ccc(C2=C3C=C(c4ccc([N+](=O)[O-])cc4)C(c4ccc(C)cc4)=[N+]3[B-](F)(F)n3c(Br)c(Cl)c(C(F)(F)F)c32)cc1'},1,0.5679006,[270],[2],270,1
F[B-]1(F)n2cccc2C(c2ccccc2Cl)=c2c(-c3ccc(Cl)cc3)cc3ccccc3c2=[N+]1c1ccccc1Cl,{'F[B-]1(F)n2cccc2C(c2ccccc2Cl)=c2c(-c3ccc(Cl)cc3)cc3ccccc3c2=[N+]1c1ccccc1Cl'},1,0.5878977,[260],[2],260,1
F[B-]1(F)n2cccc2C(=C2c3ccccc3-c3ccccc32)C(c2ccccc2Cl)=C2C=CC(c3ccccc3)=[N+]21,{'F[B-]1(F)n2cccc2C(=C2c3ccccc3-c3ccccc32)C(c2ccccc2Cl)=C2C=CC(c3ccccc3)=[N+]21'},1,0.5553403,[230],[2],230,1
Brc1ccc(NN=C2C=C3C=CC=CC(c4ccccc4)=C3C(=NNc3ccc(Br)cc3)C2=NNc2ccc(Br)cc2)cc1,{'Brc1ccc(NN=C2C=C3C=CC=CC(c4ccccc4)=C3C(=NNc3ccc(Br)cc3)C2=NNc2ccc(Br)cc2)cc1'},1,0.4575258,[240],[2],240,1
F[B-]1(F)C2=C(c3cc4ccccc4c4ccccc34)C=CC2=C(c2ccc(-c3ccccc3)cc2)c2cccn21,{'F[B-]1(F)C2=C(c3cc4ccccc4c4ccccc34)C=CC2=C(c2ccc(-c3ccccc3)cc2)c2cccn21'},1,0.4476601,[270],[2],270,1
F[B-]1(F)c2cccc(=c3c4ccccc4c(-c4ccccc4)c4[n+]3=CC=C4)c2=C(c2ccccc2)c2cccn21,{'F[B-]1(F)c2cccc(=c3c4ccccc4c(-c4ccccc4)c4[n+]3=CC=C4)c2=C(c2ccccc2)c2cccn21'},1,0.4919544,[200],[2],200,1
F[B-]1(F)c2c(n(-c3ccccc3)c3ccccc23)C(=C2C=C(c3ccc(Cl)cc3)c3ccccc32)c2cccn21,{'F[B-]1(F)c2c(n(-c3ccccc3)c3ccccc23)C(=C2C=C(c3ccc(Cl)cc3)c3ccccc32)c2cccn21'},1,0.5458546,[250],[2],250,1
F[B-]1(F)N=c2oc(-c3ccccc3)cc2=C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2cccn21,{'F[B-]1(F)N=c2oc(-c3ccccc3)cc2=C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2cccn21'},1,0.5540599,[290],[2],290,1
F[B-]1(F)C2=[N+](c3ccccc3)C(=C(c3ccncc3)c3cccn31)C(c1ccc(Cl)cc1)=C2c1ccc(Cl)cc1,{'F[B-]1(F)C2=[N+](c3ccccc3)C(=C(c3ccncc3)c3cccn31)C(c1ccc(Cl)cc1)=C2c1ccc(Cl)cc1'},1,0.5113108,[290],[2],290,1
F[B-]1(F)C2=C(c3ccccc3)C(=C(c3ccncc3)c3ccc(Br)n31)C(c1ccc(Br)cc1)=[N+]2c1ccccc1,{'F[B-]1(F)C2=C(c3ccccc3)C(=C(c3ccncc3)c3ccc(Br)n31)C(c1ccc(Br)cc1)=[N+]2c1ccccc1'},1,0.5078613,[280],[2],280,1
F[B-]1(F)C2=C(c3ccc[nH]3)c3cccn3[B-](F)(F)C2=C2c3ccccc3C(c3ccccc3)=[N+]2c2ccccc21,{'F[B-]1(F)C2=C(c3ccc[nH]3)c3cccn3[B-](F)(F)C2=C2c3ccccc3C(c3ccccc3)=[N+]2c2ccccc21'},1,0.5421376,[330],[2],330,1
F[B-]1(F)C(c2ccccc2)=c2c(Cl)c(-c3ccccc3)o[n+]2=C(c2ccc(Cl)cc2)c2cc3ccc(Cl)cc3n21,{'F[B-]1(F)C(c2ccccc2)=c2c(Cl)c(-c3ccccc3)o[n+]2=C(c2ccc(Cl)cc2)c2cc3ccc(Cl)cc3n21'},1,0.5231103,[280],[2],280,1
F[B-]1(F)n2c(c(-c3ccccc3)c(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C(Cl)=CC(c3ccccc3)=[N+]21,{'F[B-]1(F)n2c(c(-c3ccccc3)c(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C(Cl)=CC(c3ccccc3)=[N+]21'},1,0.5412598,[370],[2],370,1
F[B-]1(F)C(c2ccc(Br)c3ccccc23)=c2cc(Br)ccc2=C(c2ccc(-c3cccnc3)cc2)c2cccn21,{'F[B-]1(F)C(c2ccc(Br)c3ccccc23)=c2cc(Br)ccc2=C(c2ccc(-c3cccnc3)cc2)c2cccn21'},1,0.5029714,[240],[2],240,1
FC1=C(c2cccs2)c2ccccc2C1=Cc1sc(-c2ccc3ccccc3c2)cc1-c1[n-]c2ccccc2[s+]1,{'FC1=C(c2cccs2)c2ccccc2C1=Cc1sc(-c2ccc3ccccc3c2)cc1-c1[n-]c2ccccc2[s+]1'},1,0.4447347,[290],[2],290,1
Clc1ccc2c(c1)C(=C1N=C(c3ccccc3)c3cc(Br)ccc3N1)C(=Nc1ccccc1)N2c1ccccc1,{'Clc1ccc2c(c1)C(=C1N=C(c3ccccc3)c3cc(Br)ccc3N1)C(=Nc1ccccc1)N2c1ccccc1'},1,0.3362106,[260],[2],260,1
Cc1ccccc1-c1c(-c2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)nc2n1-c1ccccc1,{'Cc1ccccc1-c1c(-c2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)nc2n1-c1ccccc1'},1,0.0600378,[220],[2],220,1
Cc1cccc2c1C(=O)C(=Cc1ccccc1)C1(NN=C(c3ccc(Cl)cc3)C13Oc1ccccc1C3=O)C2=O,{'Cc1cccc2c1C(=O)C(=Cc1ccccc1)C1(NN=C(c3ccc(Cl)cc3)C13Oc1ccccc1C3=O)C2=O'},1,0.1314561,[150],[2],150,1
Cc1cccc(C)c1-n1c(-c2ccccc2)c(-c2ccccc2)c2c1c(=O)c1ccccc1n2-c1ccccc1,{'Cc1cccc(C)c1-n1c(-c2ccccc2)c(-c2ccccc2)c2c1c(=O)c1ccccc1n2-c1ccccc1'},1,0.1539399,[180],[2],180,1
F[B-]1(F)c2ncccc2C(c2ccccc2Cl)=C2C(c3ccccc3)=C(c3ccccc3)C(c3ccccc3)=[N+]21,{'F[B-]1(F)c2ncccc2C(c2ccccc2Cl)=C2C(c3ccccc3)=C(c3ccccc3)C(c3ccccc3)=[N+]21'},1,0.5651222,[230],[2],230,1
F[B-]1(F)n2c(cc(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C(c3ccccc3)=CC(c3ccc(Cl)cc3)=[N+]21,{'F[B-]1(F)n2c(cc(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C(c3ccccc3)=CC(c3ccc(Cl)cc3)=[N+]21'},1,0.4957977,[360],[2],360,1
F[B-]1(F)n2c(cc(-c3ccco3)c2-c2ccco2)C(c2cccs2)=C2c3ccccc3C(c3ccco3)=[N+]2[B-]1(F)F,{'F[B-]1(F)n2c(cc(-c3ccco3)c2-c2ccco2)C(c2cccs2)=C2c3ccccc3C(c3ccco3)=[N+]2[B-]1(F)F'},1,0.5047067,[400],[2],400,1
O=C(CCCN1C(=O)OCC1c1cccc([N+](=O)[O-])c1)Nc1cccc2cccc(S(=O)(=O)c3ccccc3)c12,{'O=C(CCCN1C(=O)OCC1c1cccc([N+](=O)[O-])c1)Nc1cccc2cccc(S(=O)(=O)c3ccccc3)c12'},1,0.0,[60],[2],60,1
O=C1C(Cl)=C(N(c2ccccc2)c2ccccc2)c2ccccc2C1=C1C(=O)c2ccccc2-c2ccccc21,{'O=C1C(Cl)=C(N(c2ccccc2)c2ccccc2)c2ccccc2C1=C1C(=O)c2ccccc2-c2ccccc21'},1,0.3373009,[200],[2],200,1
O=C1C(=c2c(=C3c4ccccc4-c4ccccc43)c(-c3ccc(Br)cc3)nc3ccccc23)Nc2ccccc21,{'O=C1C(=c2c(=C3c4ccccc4-c4ccccc43)c(-c3ccc(Br)cc3)nc3ccccc23)Nc2ccccc21'},1,0.3771397,[230],[2],230,1
O=C1C(=Cc2ccncc2)C(=Cc2cccc3cccnc23)C(F)C1=Cc1c2ccccc2cc2cccnc12,{'O=C1C(=Cc2ccncc2)C(=Cc2cccc3cccnc23)C(F)C1=Cc1c2ccccc2cc2cccnc12'},1,0.4507498,[160],[2],160,1
O=C1C(=C2C=Cc3ccccc3C3=C(Cc4ccccc4)OC=CC3=C2c2ccccc2)N(O)c2ccccc21,{'O=C1C(=C2C=Cc3ccccc3C3=C(Cc4ccccc4)OC=CC3=C2c2ccccc2)N(O)c2ccccc21'},1,0.4896968,[150],[2],150,1
O=C1C(=C2C=C(c3ccccc3)[S+]=C2c2[n-]ccc2F)c2ccccc2C1=C1c2ccccc2-c2ccccc21,{'O=C1C(=C2C=C(c3ccccc3)[S+]=C2c2[n-]ccc2F)c2ccccc2C1=C1c2ccccc2-c2ccccc21'},1,0.4432665,[350],[2],350,1
O=C1C(=C2C(c3ccc(Cl)cc3)=C(c3ccc(Cl)cc3)c3ccccc32)c2ccccc2N1c1ccc(Cl)cc1,{'O=C1C(=C2C(c3ccc(Cl)cc3)=C(c3ccc(Cl)cc3)c3ccccc32)c2ccccc2N1c1ccc(Cl)cc1'},1,0.4974025,[320],[2],320,1
O=C(C1=Cc2c(ccc3ccccc23)-c2c(c3ccccc3n2S(=O)(=O)c2ccccc2)CC1)c1ccccc1,{'O=C(C1=Cc2c(ccc3ccccc23)-c2c(c3ccccc3n2S(=O)(=O)c2ccccc2)CC1)c1ccccc1'},1,0.3171023,[130],[2],130,1
